광역시도,기초지자체,RFID종량기 수,(추정) 세대수,구별 세대당 인구,RFID설치 인구수
서울특별시,종로구,203,12358,2,24716
서울특별시,중구,380,23508,1.98,46545.84
서울특별시,용산구,35,2457,2.04,5012.28
서울특별시,성동구,599,40612,2.17,88128.04
서울특별시,광진구,490,25302,2.09,52881.18
서울특별시,동대문구,430,33564,2.06,69141.84
서울특별시,중랑구,856,48150,2.14,103041
서울특별시,성북구,328,28019,2.25,63042.75
서울특별시,강북구,127,7442,2.13,15851.46
서울특별시,도봉구,896,60356,2.35,141836.6
서울특별시,노원구,2080,132051,2.41,318242.91
서울특별시,은평구,357,24725,2.26,55878.5
서울특별시,서대문구,772,50675,2.17,109964.75
서울특별시,마포구,1185,76376,2.09,159625.84
서울특별시,양천구,380,24494,2.53,61969.82
서울특별시,강서구,772,51509,2.19,112804.71
서울특별시,구로구,314,20453,2.26,46223.78
서울특별시,금천구,499,33564,2.04,68470.56
서울특별시,영등포구,1227,76725,2.06,158053.5
서울특별시,동작구,800,47831,2.14,102358.34
서울특별시,관악구,505,28988,1.81,52468.28
서울특별시,서초구,651,43838,2.46,107841.48
서울특별시,강남구,264,16770,2.3,38571
서울특별시,송파구,2815,140048,2.38,333314.24
서울특별시,강동구,942,60967,2.35,143272.45
부산광역시,중구,11,1130,1.86,2101.8
부산광역시,서구,116,10399,2.06,21421.94
부산광역시,동구,105,10014,2,20028
부산광역시,영도구,153,15828,2.13,33713.64
부산광역시,부산진구,630,59688,2.12,126538.56
부산광역시,동래구,555,43640,2.39,104299.6
부산광역시,남구,589,49925,2.34,116824.5
부산광역시,북구,696,66605,2.4,159852
부산광역시,해운대구,1047,92097,2.4,221032.8
부산광역시,사하구,642,60020,2.31,138646.2
부산광역시,금정구,399,34707,2.23,77396.61
부산광역시,강서구,494,37123,2.48,92065.04
부산광역시,연제구,405,38520,2.3,88596
부산광역시,수영구,298,26472,2.14,56650.08
부산광역시,사상구,615,50362,2.26,113818.12
부산광역시,기장군,537,40392,2.38,96132.96
대구광역시,중구,217,16786,1.94,32564.84
대구광역시,동구,310,24275,2.17,52676.75
대구광역시,서구,130,10946,2.02,22110.92
대구광역시,남구,207,14137,1.89,26718.93
대구광역시,북구,663,51069,2.32,118480.08
대구광역시,수성구,651,44281,2.46,108931.26
대구광역시,달서구,1389,101354,2.34,237168.36
대구광역시,달성군,446,37347,2.38,88885.86
인천광역시,중구,209,15451,2.14,33065.14
인천광역시,동구,230,14464,2.27,32833.28
인천광역시,미추홀구,764,51183,2.26,115673.58
인천광역시,연수구,1099,75311,2.7,203339.7
인천광역시,남동구,1248,70680,2.46,173872.8
인천광역시,부평구,824,45145,2.48,111959.6
인천광역시,계양구,413,30868,2.49,76861.32
인천광역시,서구,1700,93558,2.56,239508.48
인천광역시,강화군,59,2571,2.11,5424.81
광주광역시,동구,271,14916,2.1,31323.6
광주광역시,서구,1096,66927,2.3,153932.1
광주광역시,남구,592,37277,2.4,89464.8
광주광역시,북구,996,67290,2.3,154767
광주광역시,광산구,1103,68020,2.6,176852
대전광역시,동구,86,5325,2.2,11715
대전광역시,중구,134,10718,2.3,24651.4
대전광역시,서구,375,23753,2.4,57007.2
대전광역시,유성구,127,8229,2.4,19749.6
대전광역시,대덕구,155,9551,2.3,21967.3
울산광역시,중구,338,20149,2.3,46342.7
울산광역시,남구,400,26257,2.31,60653.67
울산광역시,동구,177,10858,2.39,25950.62
울산광역시,북구,350,23761,2.67,63441.87
울산광역시,울주군,216,12208,2.39,29177.12
경기도,수원시장안구,891,51435,2.42,124472.7
경기도,수원시권선구,1455,83321,2.43,202470.03
경기도,수원시팔달구,476,27902,2.09,58315.18
경기도,수원시영통구,1732,106100,2.51,266311
경기도,성남시중원구,17,976,2.2,2147.2
경기도,성남시분당구,16,879,2.57,2259.03
경기도,의정부시,431,29917,2.27,67911.59
경기도,안양시,312,23289,2.55,59386.95
경기도,부천시,814,46193,2.42,111787.06
경기도,광명시,2,258,2.5,645
경기도,평택시,326,21788,2.17,47279.96
경기도,동두천시,359,20067,2.16,43344.72
경기도,고양시,98,6203,2.46,15259.38
경기도,과천시,11,623,2.71,1688.33
경기도,구리시,462,26956,2.4,64694.4
경기도,남양주시,599,42944,2.47,106071.68
경기도,오산시,1139,67669,2.27,153608.63
경기도,시흥시,673,39900,2.34,93366
경기도,군포시,300,21431,2.39,51220.09
경기도,의왕시,410,24500,2.5,61250
경기도,용인시,4633,257310,2.52,648421.2
경기도,파주시,936,63167,2.29,144652.43
경기도,이천시,702,38967,2.25,87675.75
경기도,김포시,9,152,2.43,369.36
경기도,화성시,4057,240748,2.47,594647.56
경기도,광주시,8,2230,2.27,5062.1
경기도,양주시,644,51808,2.32,120194.56
경기도,포천시,324,19648,2.1,41260.8
경기도,여주시,260,12160,2.14,26022.4
강원도,춘천시,653,35052,2.26,79217.52
강원도,원주시,1333,109609,2.23,244428.07
강원도,강릉시,371,24196,2.12,51295.52
강원도,동해시,316,21812,2.16,47113.92
강원도,속초시,41,3382,2.1,7102.2
강원도,삼척시,227,10522,1.96,20623.12
강원도,홍천군,248,8172,2.05,16752.6
강원도,횡성군,301,13774,2.02,27823.48
강원도,영월군,8,400,1.83,732
강원도,정선군,56,2654,1.83,4856.82
강원도,철원군,55,1430,2.14,3060.2
강원도,양구군,18,956,2.08,1988.48
강원도,고성군,76,3449,1.92,6622.08
충청북도,청주시,1985,137165,2.21,303134.65
충청남도,서산시,76,4703,2.18,10252.54
전라북도,군산시,907,50395,2.18,109861.1
전라북도,익산시,778,59478,2.14,127282.92
전라북도,정읍시,360,20500,1.97,40385
전라북도,임실군,50,2411,1.8,4339.8
전라북도,순창군,13,630,2.13,1341.9
전라북도,고창군,181,8346,1.86,15523.56
전라북도,부안군,100,5600,1.85,10360
전라남도,목포시,8,586,2.13,1248.18
전라남도,여수시,86,6654,2.17,14439.18
전라남도,순천시,568,34412,2.27,78115.24
전라남도,나주시,86,6370,1.97,12548.9
전라남도,곡성군,1,24,1.78,42.72
전라남도,해남군,4,452,1.91,863.32
전라남도,무안군,6,435,2.13,926.55
전라남도,함평군,8,291,1.74,506.34
전라남도,완도군,1,71,1.87,132.77
경상북도,포항시,1251,121624,2.17,263924.08
경상북도,김천시,591,35550,2.05,72877.5
경상북도,안동시,499,36443,2.02,73614.86
경상북도,구미시,1527,112058,2.26,253251.08
경상북도,영주시,411,21775,2.03,44203.25
경상북도,영천시,94,5696,1.89,10765.44
경상북도,상주시,121,8988,1.96,17616.48
경상북도,경산시,732,57299,2.15,123192.85
경상북도,영덕군,21,1056,1.78,1879.68
경상북도,예천군,151,7792,2.01,15661.92
경상북도,울진군,417,19890,1.96,38984.4
경상북도,울릉군,194,7970,1.77,14106.9
경상남도,창원시,155,10606,2.29,24287.74
경상남도,진주시,924,57754,2.21,127636.34
경상남도,통영시,58,3102,2.1,6514.2
경상남도,김해시,2036,140993,2.38,335563.34
경상남도,거제시,72,6101,2.33,14215.33
경상남도,양산시,844,60895,2.37,144321.15
경상남도,의령군,12,743,1.88,1396.84
경상남도,창녕군,357,17329,1.85,32058.65
경상남도,고성군,68,3943,1.92,7570.56
경상남도,하동군,25,1487,1.82,2706.34
제주특별자치도,제주시,4211,178742,2.22,396807.24
제주특별자치도,서귀포시,2081,39921,2.1,83834.1
