자치구,총가구,총인구,아파트면적당가격,업소수,업소당가구수,인구당업소수,유동인구,인구당유동인구
종로구,73063,154995,7908133,5679,13,0.036639892,43665,0.281718765
중구,57901,122273,9151212,5013,12,0.040998422,45033,0.368298807
용산구,107467,232912,14679558,4068,26,0.017465824,49722,0.213479769
성동구,126703,296259,11134022,3463,37,0.011689096,49669,0.167653978
광진구,158398,359503,9968917,4822,33,0.013412962,51586,0.143492544
동대문구,160101,358870,8727113,3943,41,0.010987266,47189,0.131493298
중랑구,177090,413685,7864221,3825,46,0.009246166,46180,0.11163083
성북구,190729,457737,8137599,4744,40,0.01036403,54143,0.11828408
강북구,140764,328539,6700235,3401,41,0.010351891,28963,0.088156962
도봉구,136578,349553,6687763,2800,49,0.00801023,28462,0.08142399
노원구,219841,571003,8402235,4207,52,0.007367737,61945,0.108484544
은평구,202889,495941,7256288,4178,49,0.008424389,47200,0.095172611
서대문구,133770,305836,7587715,4241,32,0.013866909,38277,0.125155312
마포구,170933,385406,10083224,6236,27,0.01618034,62623,0.162485794
양천구,178581,481554,8327943,3349,53,0.006954568,50892,0.105682852
강서구,238602,586400,7733268,4867,49,0.008299795,77507,0.132174284
구로구,169765,415349,7386241,4559,37,0.010976311,56799,0.136750058
금천구,104746,237493,7615482,3066,34,0.012909854,37439,0.157642541
영등포구,168139,378075,9973668,6345,26,0.016782384,79821,0.211124777
동작구,172309,402762,9761970,3032,57,0.007528019,50181,0.124592191
관악구,251363,509977,7905750,4752,53,0.009318067,49267,0.096606318
서초구,171750,442380,15392820,6599,26,0.01491704,114936,0.259812831
강남구,235812,572266,17238249,11089,21,0.019377352,144716,0.252882401
송파구,251866,645440,12191793,6581,38,0.010196145,116696,0.180800694
강동구,179289,453347,10947162,4809,37,0.010607768,52822,0.116515605
