시군명,음식물류폐기물발생량(톤),인구수(명),1일1인발생량(kg)
수원시,179,1184624,0.151
성남시,252,1027546,0.245
고양시,304.4,971424,0.313
용인시,237.2,975746,0.243
부천시,227,848987,0.267
안산시,218.8,697885,0.314
안양시,170.7,653454,0.261
남양주시,153.1,597789,0.256
화성시,114.1,596525,0.191
평택시,131.6,460532,0.286
의정부시,131.5,433937,0.303
시흥시,118.4,398256,0.297
파주시,79.1,423321,0.187
광명시,86.2,349990,0.246
김포시,73.9,344978,0.214
군포시,61.8,312579,0.198
광주시,74.3,287519,0.258
이천시,101.3,206828,0.49
양주시,55.8,204935,0.272
오산시,39.7,205184,0.193
구리시,33.3,180199,0.185
안성시,23.33,186721,0.125
포천시,53.8,155192,0.347
의왕시,38.8,157740,0.246
하남시,50.67,166713,0.304
여주시,32.1,111033,0.289
양평군,27.1,108316,0.25
동두천시,16.4,97974,0.167
과천시,21.4,68946,0.31
가평군,15.1,62008,0.244
연천군,6.4,45725,0.14

